COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W42,H3000W31,H3000W32,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W42
60005,COOK,GRAVID TRAP,17,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,30,2014,COOK_30_2014,1025,7/23/14,PID000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,54,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,30,2014,COOK_30_2014,1062,7/25/14,PID000081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2014,COOK_31_2014,1115,7/28/14,PID000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,48,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2014,COOK_31_2014,1116,7/28/14,PID000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,40,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2014,COOK_31_2014,1128,7/29/14,PID000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,49,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2014,COOK_31_2014,1166,7/30/14,PID000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,40,Female,PCRWNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2014,COOK_31_2014,1172,7/31/14,PID000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,32,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,32,2014,COOK_32_2014,1383,8/8/14,PID000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,33,2014,COOK_33_2014,1405,8/11/14,PID000160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,33,2014,COOK_33_2014,1406,8/11/14,PID000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,46,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,33,2014,COOK_33_2014,1455,8/12/14,PID000170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,33,2014,COOK_33_2014,1464,8/14/14,PID000173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,33,2014,COOK_33_2014,1484,8/14/14,PID000177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,39,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,34,2014,COOK_34_2014,1497,8/18/14,PID000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,42,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,34,2014,COOK_34_2014,1542,8/20/14,PID000184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,46,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2014,COOK_22_2014,156,5/29/14,PID000188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,42,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,34,2014,COOK_34_2014,1581,8/22/14,PID000190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,35,2014,COOK_35_2014,1639,8/26/14,PID000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,35,2014,COOK_35_2014,1640,8/26/14,PID000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,20,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,35,2014,COOK_35_2014,1660,8/28/14,PID000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,24,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,36,2014,COOK_36_2014,1701,9/3/14,PID000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
