COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W30,H1500W31,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W42,H3000W18,H3000W30,H3000W31,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W40,H3000W49
62910,MASSAC,GRAVID TRAP,70,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,25,2016,MASSAC_25_2016,MA-01,6/20/16,PID191836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,60,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,25,2016,MASSAC_25_2016,MA-02,6/20/16,PID191838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,25,2016,MASSAC_25_2016,MA-03,6/20/16,PID191840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,26,2016,MASSAC_26_2016,MA-08,6/28/16,PID191844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,26,2016,MASSAC_26_2016,MA-09,6/28/16,PID191845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,32,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,26,2016,MASSAC_26_2016,MA-10,6/28/16,PID191847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,27,2016,MASSAC_27_2016,MA-14,7/5/16,PID191848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,29,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,28,2016,MASSAC_28_2016,MA-15,7/11/16,PID191849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,28,Female,VECWNV,NEGATIVE,0,-88.59312,37.14014,Unknown,29,2016,MASSAC_29_2016,MA-17,7/18/16,PID191850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62910,MASSAC,GRAVID TRAP,55,Female,VECWNV,POSITIVE,1,-88.59312,37.14014,Unknown,30,2016,MASSAC_30_2016,MA-19,7/25/16,PID191851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
