COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W30,H1500W31,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W39,H1500W40,H3000W23,H3000W29,H3000W30,H3000W31,H3000W32,H3000W33,H3000W35,H3000W36,H3000W37,H3000W39,H3000W40
62914,ALEXANDER,GRAVID TRAP,48,Female,VECWNV,NEGATIVE,0,-89.174399,37.00133,Culex,30,2004,ALEXANDER_30_2004,22,7/29/04,PID191867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-89.174399,37.00133,Culex,31,2004,ALEXANDER_31_2004,23,8/2/04,PID191868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,39,Female,VECWNV,NEGATIVE,0,-89.183497,37.01771,Culex,30,2004,ALEXANDER_30_2004,21,7/29/04,PID191866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-89.183497,37.01771,Culex,31,2004,ALEXANDER_31_2004,24,8/2/04,PID191869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,30,2004,PULASKI_30_2004,25,7/29/04,PID193131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,34,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,30,2004,PULASKI_30_2004,26,7/29/04,PID193132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,31,2004,PULASKI_31_2004,27,8/2/04,PID193133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,7,Female,VECWNV,NEGATIVE,0,-88.636647,37.142813,Culex,22,2004,MASSAC_22_2004,4,6/1/04,PID193090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.730822,37.154463,Culex,22,2004,MASSAC_22_2004,7,6/1/04,PID193096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,32,Female,VECWNV,NEGATIVE,0,-88.718901,37.161108,Culex,22,2004,MASSAC_22_2004,6,6/1/04,PID193094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.718901,37.161108,Culex,29,2004,MASSAC_29_2004,9,7/19/04,PID193099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,16,Female,VECWNV,NEGATIVE,0,-88.728125,37.16165,Culex,22,2004,MASSAC_22_2004,5,6/1/04,PID193092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,44,Female,VECWNV,NEGATIVE,0,-88.692517,37.161677,Culex,22,2004,MASSAC_22_2004,1,6/1/04,PID193083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
