COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W27,H1500W29,H1500W30,H1500W31,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W39,H1500W41,H1500W42,H3000W27,H3000W28,H3000W29,H3000W30,H3000W31,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W41,H3000W42
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2018,COOK_22_2018,133,6/1/18,PID000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2018,COOK_23_2018,149,6/6/18,PID000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,23,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2018,COOK_23_2018,160,6/7/18,PID000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,57,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2018,COOK_23_2018,205,6/9/18,PID000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,28,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,24,2018,COOK_24_2018,244,6/14/18,PID000262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,48,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,24,2018,COOK_24_2018,262,6/15/18,PID000279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,7,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,25,2018,COOK_25_2018,310,6/19/18,PID000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,25,2018,COOK_25_2018,341,6/22/18,PID000341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,13,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2018,COOK_26_2018,351,6/26/18,PID000351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2018,COOK_26_2018,380,6/29/18,PID000376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
